23/01/19, 942.3, 957.1, 925.6, 926.0, 120,951,800, 
23/01/18, 946.8, 950.7, 902.2, 943.1, 198,566,500, 
23/01/17, 953.0, 968.6, 935.2, 950.6, 108,631,000, 
23/01/16, 992.1, 992.2, 947.6, 949.0, 122,906,900, 
23/01/13, 955.0, 995.8, 949.0, 977.1, 231,075,600, 
23/01/12, 901.6, 953.6, 901.6, 953.6, 171,853,100, 
23/01/11, 900.0, 908.5, 895.6, 908.0, 68,018,000, 
23/01/10, 895.0, 898.6, 883.3, 893.3, 75,200,400, 
23/01/05, 933.1, 934.0, 907.0, 912.0, 124,692,600, 
23/01/04, 894.0, 929.0, 893.5, 926.2, 166,037,700, 
22/12/30, 871.9, 896.0, 865.1, 889.0, 68,897,500, 
22/12/29, 899.8, 899.9, 872.3, 881.5, 128,383,100, 
22/12/28, 900.0, 911.8, 895.0, 897.5, 93,949,400, 
22/12/27, 886.8, 900.0, 884.1, 897.8, 81,729,200, 
22/12/26, 885.0, 891.4, 878.1, 881.1, 78,358,000, 
22/12/23, 875.0, 898.0, 874.4, 898.0, 148,857,700, 
22/12/22, 855.0, 869.5, 846.8, 869.5, 115,352,000, 
22/12/21, 860.0, 892.5, 848.9, 850.5, 308,652,800, 
22/12/20, 772.2, 846.5, 770.3, 818.4, 199,202,400, 
22/12/19, 766.4, 780.8, 766.0, 772.2, 68,307,800, 
22/12/16, 762.0, 774.0, 759.2, 761.2, 72,437,200, 
22/12/15, 757.1, 763.5, 756.6, 761.7, 38,373,800, 
22/12/14, 752.4, 757.6, 751.1, 757.6, 32,785,500, 
22/12/13, 757.7, 761.5, 755.2, 758.0, 37,350,300, 
22/12/12, 752.7, 759.7, 750.7, 755.5, 37,306,300, 
22/12/09, 747.5, 759.7, 747.4, 754.8, 51,350,500, 
22/12/08, 750.0, 751.3, 736.3, 747.4, 57,632,200, 
22/12/07, 748.1, 758.3, 745.3, 755.8, 58,745,700, 
22/12/06, 742.0, 751.4, 741.6, 748.5, 47,070,700, 
22/12/05, 737.0, 742.1, 734.2, 741.9, 47,593,900, 
22/12/02, 744.0, 746.7, 734.5, 738.7, 48,342,100, 
22/12/01, 765.0, 765.4, 747.7, 748.0, 48,337,400, 
22/11/30, 762.3, 764.8, 753.1, 755.1, 62,908,700, 
22/11/29, 755.4, 764.4, 748.6, 764.4, 70,568,800, 
22/11/28, 765.6, 767.7, 744.8, 751.9, 68,521,500, 
22/11/25, 745.0, 758.7, 743.2, 758.7, 57,929,400, 
22/11/24, 742.0, 756.4, 741.1, 751.2, 93,865,900, 
